問題No,学年・学期,単元ID,単元名,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答番号,解説１,解説２,解説３,解説４,図１,図２,国試,,,,,,,,,,,,
76,1110,1400,高分子化合物,次のうち、植物系の「天然高分子化合物」はどれですか？,ニトロセルロース,アラビアゴム,コラーゲン,,2,不l正解。　これは天然高分子のセルロースを部分的に利用して作られるいる半合成高分子です。 ,正解です。　アラビアゴムは植物から得られる高分子化合物です。,不l正解。　コラーゲンは動物の骨や皮などに特有のたんぱく質です。,,,,,,,,,,,,,,,,
77,1110,1400,高分子化合物,マツの樹脂から得られる、粘着性が高い天然高分子化合物は何ですか？,ロジン,キトサン,ケラチン,,1,正解です。　「ロジン（松やに）」はマツの樹脂を精製して得られる高分子化合物です。,不l正解。　マツの樹脂由来のものはロジンです。,不l正解。　マツの樹脂由来のものはロジンです。,,,,,,,,,,,,,,,,
78,1110,1400,高分子化合物,高分子化合物に関する組合せのうち、誤っているものはどれか。,ニトロセルロース、 皮膜形成剤,ポリビニルアルコール、 パック基剤,ネイル、 熱硬化性樹脂,,3,不l正解。　これは正しい組み合わせです。,不l正解。　これは正しい組み合わせです。,正解です。　これは誤りで、香粧品にはすべて熱可塑性樹脂が使われます。,,,,,,,,,,,,,,,,
79,1110,1400,高分子化合物,ビニル系やアクリル系など、化学的に合成された高分子化合物を？,天然高分子,合成高分子,半合成高分子,,2,不l正解。　化学的に合成されたものは「合成高分子」と呼ばれます。,正解です。　ビニル系やアクリル系など、石油などから合成されたものを合成高分子といいます。,不l正解。　化学的に合成されたものは「合成高分子」と呼ばれます。,,,,,,,,,,,,,,,,
80,1110,1400,高分子化合物,ヘアスプレーなどの「皮膜形成剤」として使われる合成高分子はどれ？,PVP(ポリビニルピロリドン),レシチン,キトサン,,1,正解です。　PVP（ポリビニルピロリドン）は、透明な膜を作る性質があり、ヘアスプレーに使われます。,不l正解。　ヘアスプレーの皮膜剤として使われるのはPVPです。,不l正解。　ヘアスプレーの皮膜剤として使われるのはPVPです。,,,,,,,,,,,,,,,,
81,1110,1400,高分子化合物,シャンプーや乳液の「乳化安定剤」や「増粘剤」に使われる合成高分子は？,ケラチン,PVA(ポリビニルアルコール),ロジン,,2,不l正解。　ケラチンは毛髪の主成分です。,正解です。　PVA（ポリビニルアルコール）は、水に溶けて粘り気を出し、製品を安定させます。,不l正解。　ケラチンは毛髪の主成分です。,,,,,,,,,,,,,,,,
82,1110,1400,高分子化合物,次のうち、植物系の天然高分子化合物はどれですか？,エラスチン,キトサン,アラビアゴム,,3,不l正解。　アラビアゴムは植物系です。,不l正解。　アラビアゴムは植物系です。,正解です。　アラビアゴムは植物系です。,,,,,,,,,,,,,,,,
83,1110,1400,高分子化合物,高分子化合物は、小さな分子（単量体）がどのように繋がっていますか？,バラバラに独立している,鎖状に長く繋がっている,丸く固まっている,,2,不l正解。　高分子はバラバラではなく、繋がっています。,正解です。　高分子は、モノマー（単量体）が鎖のように長く結合した構造をしています。,不l正解。　高分子はバラバラではなく、繋がっています。,,,,,,,,,,,,,,,,
84,1110,1400,高分子化合物,皮膚の弾力性を保つため、コラーゲンと共に存在しているのは？,エラスチン,アラビアゴム,PVP,,1,正解です。　エラスチンは真皮にあり、コラーゲンを繋ぎ止めて弾力を保ちます。,不l正解。　アラビアゴムは植物系の天然高分子です。,不l正解。　アラビアゴムは植物系の天然高分子です。,,,,,,,,,,,,,,,,
85,1110,1400,高分子化合物,天然の高分子化合物のうち、コラーゲンやケラチンは何系ですか？,植物系,動物系,合成高分子,,2,不l正解。　植物由来ならデンプンなどになります。,正解です。　自然界にある生物から得られる高分子を天然高分子といい、これらは動物系です。,不l正解。　植物由来ならデンプンなどになります。,,,,,,,,,,,,,,,,
86,1110,1400,高分子化合物,キトサンの原料として正しいものはどれですか？,豚や牛の皮,カニやエビの殻,樹木の樹脂,,2,不l正解。　真皮はコラーゲンです。,正解です。　キトサンはカニやエビなどの甲殻類に含まれる成分を処理したものです。,不l正解。　真皮はコラーゲンです。,,,,,,,,,,,,,,,,
87,1110,1400,高分子化合物,高分子化合物の特性として、適切なものはどれですか？,熱に非常に弱い,独特の粘性がある,水に非常に溶けやすい,,2,不l正解。　高分子は熱で変質しやすいものもあります。,正解です。　高分子化合物は、水などに溶かすと特有の粘り気が出る性質があります。,不l正解。　高分子は熱で変質しやすいものもあります。,,,,,,,,,,,,,,,,
88,1111,1500,色材,水や油に溶ける性質を持つ、粒子が非常に細かい色材は何ですか？,顔料,染料,体質顔料,,2,不l正解。　顔料は溶けずに分散するものです。,正解です。　染料は水や油などの溶媒に溶けて、物質を染めることができます。,不l正解。　顔料は溶けずに分散するものです。,,,,,,,,,,,,,,,,
89,1111,1500,色材,水や油に溶けない不溶性の色材を何といいますか？,染料,顔料,合成色素,,2,不l正解。　染料は溶ける性質があります。,正解です。　顔料は水や油に溶けないため、粒子として分散させて使用します。,不l正解。　染料は溶ける性質があります。,,,,,,,,,,,,,,,,
90,1111,1500,色材,色材が光や熱に強く、変色しにくい性質を何といいますか？,耐光性・耐熱性,揮発性,吸湿性,,1,正解です。　光による退色や変色に耐える力を耐光性、熱に耐える力を耐熱性といいます。,不l正解。　揮発性は蒸発する性質、吸湿性は水を吸う性質です。,不l正解。　揮発性は蒸発する性質、吸湿性は水を吸う性質です。,,,,,,,,,,,,,,,,
91,1111,1500,色材,ファンデーションなどで、肌の欠点を覆い隠す力を何といいますか？,展延力,被覆力,吸着力,,2,不l正解。　展延力は広がりやすさ、吸着力はつきやすさのことです。,正解です。　肌の欠点を覆い隠して目立たなくさせる力を被覆力といいます。,不l正解。　展延力は広がりやすさ、吸着力はつきやすさのことです。,,,,,,,,,,,,,,,,
92,1111,1500,色材,酸化鉄や群青のように、天然の鉱物などから作られる色材は？,有機顔料,無機顔料,合成染料,,2,不l正解。　鉱物由来のものは無機顔料です。,正解です。　酸化鉄などの鉱物から作られるものを無機顔料といいます。,不l正解。　鉱物由来のものは無機顔料です。,,,,,,,,,,,,,,,,
93,1111,1500,色材,ファンデーションの「色味」を調節するために使われるのは？,着色顔料,体質顔料,真珠光沢,,1,正解です。　酸化鉄などの着色顔料を混ぜることで、製品に色をつけます。,不l正解。　体質顔料は形を整えたり質感を出したりするために使われます。,不l正解。　体質顔料は形を整えたり質感を出したりするために使われます。,,,,,,,,,,,,,,,,
94,1111,1500,色材,代表的な白色顔料で、しっかりとした被覆力を持つのは？,酸化チタン,酸化亜鉛,カーボンブラック,,1,正解です。　酸化チタンは白く塗る力が非常に強く、ファンデーションの主成分になります。,不l正解。　酸化亜鉛も白いですが、被覆力は酸化チタンの方が強いです。,不l正解。　酸化亜鉛も白いですが、被覆力は酸化チタンの方が強いです。,,,,,,,,,,,,,,,,
95,1111,1500,色材,粒子の細かい酸化チタンは、紫外線を防ぐために使われます。防ぐのは何？,赤外線,紫外線,可視光線,,2,不l正解。　防ぐべき有害な光線は紫外線です。,正解です。　酸化チタンの粒子を非常に小さくすると、紫外線を乱反射させて防ぐ効果が高まります。,不l正解。　防ぐべき有害な光線は紫外線です。,,,,,,,,,,,,,,,,
96,1111,1500,色材,別名を亜鉛華とも呼ばれる白色顔料はどれですか？,酸化チタン,酸化亜鉛,カオリン,,2,不l正解。　酸化チタンはチタン白と呼ばれます。,正解です。　酸化亜鉛は亜鉛華とも呼ばれ、透明感のある白さを出します。,不l正解。　酸化チタンはチタン白と呼ばれます。,,,,,,,,,,,,,,,,
97,1111,1500,色材,酸化亜鉛が持つ、皮膚をキュッと引き締める効果を何といいますか？,酸化作用,収れん作用,還元作用,,2,不l正解。　引き締める力は収れん作用といいます。,正解です。　皮膚組織や血管を収縮させ、肌を健やかに保つ働きを収れん作用といいます。,不l正解。　引き締める力は収れん作用といいます。,,,,,,,,,,,,,,,,
98,1111,1500,色材,黄色・赤色・黒色のバリエーションがあり、色味調節に使われるのは？,酸化鉄,群青,タール色素,,1,正解です。　酸化鉄は安全性も高く、肌色を作るための最も基本的な顔料です。,不l正解。　安全性が高く、色味の調整に不可欠なのは酸化鉄です。,不l正解。　安全性が高く、色味の調整に不可欠なのは酸化鉄です。,,,,,,,,,,,,,,,,
99,1111,1500,色材,酸化鉄のうち、赤色をしたものは何と呼ばれますか？,ベンガラ,墨,真珠,,1,正解です。　赤色の酸化鉄はベンガラと呼ばれ、チークや口紅に使われます。,不l正解。　赤色の酸化鉄はベンガラといいます。,不l正解。　赤色の酸化鉄はベンガラといいます。,,,,,,,,,,,,,,,,
100,1111,1500,色材,眉墨やアイライナーを黒く着色するために使われる顔料は？,酸化チタン,カーボンブラック,コンジョウ,,2,不l正解。　酸化チタンは白、コンジョウは青です。,正解です。　カーボンブラックは、炭から作られる真っ黒な顔料で、アイメイクに使われます。,不l正解。　酸化チタンは白、コンジョウは青です。,,,,,,,,,,,,,,,,
101,1111,1500,色材,青色系の代表的な無機顔料はどれですか？,群青,酸化鉄,亜鉛華,,1,正解です。　群青は熱に強い青色顔料です。,不l正解。　酸化鉄は赤・黄・黒、亜鉛華は白です。,不l正解。　酸化鉄は赤・黄・黒、亜鉛華は白です。,,,,,,,,,,,,,,,,
102,1112,1500,色材,有機合成色素の別名を何といいますか？,天然色素,タール色素,鉱物色素,,2,不l正解。　合成色素の別名はタール色素です。,正解です。　かつて石炭のタールから作られていたため、今でもタール色素と呼ばれます。,不l正解。　合成色素の別名はタール色素です。,,,,,,,,,,,,,,,,
103,1112,1600,香料,香料を大きく2つに分類すると、何と何になりますか？,有機香料と無機香料,無機香料と合成香料,天然香料と合成香料,,3,不l正解。　天然の対義語は合成です。,不l正解。　天然の対義語は合成です。,正解です。　香料は、自然界からとる天然香料と、化学的に作る合成香料に分けられます。,,,,,,,,,,,,,,,,
104,1112,1600,香料,合成香料は、石油や石炭、天然ガスなどの原料から何から作られますか？,天然ガス,水,空気,,1,正解です。　合成香料は、石油や石炭、天然ガスなどの原料から化学的に合成されます。,不l正解。　合成香料の主な原料は、石油、石炭、天然ガスなどです。,不l正解。　合成香料の主な原料は、石油、石炭、天然ガスなどです。,,,,,,,,,,,,,,,,
105,1112,1600,香料,ジャコウジカから得られる代表的な動物性香料は何ですか？,じゃ香,霊猫香,龍涎香,,1,正解です。　ジャコウジカの雄の香嚢から得られる香料を「じゃ香（ムスク）」といいます。,不l正解。　ムスクはジャコウジカから得られる香料です。,不l正解。　ムスクはジャコウジカから得られる香料です。,,,,,,,,,,,,,,,,
106,1112,1600,香料,香粧品に使われる主な動物性香料は何種類ありますか？,2種類,4種類,10種類,,2,不l正解。　主要な動物性香料は、じゃ香、霊猫香、海狸香、龍涎香の4種類です。,正解です。　主な動物性香料として、じゃ香、霊猫香、海狸香、龍涎香の4種類が知られています。,不l正解。　主要な動物性香料は4種類です。,,,,,,,,,,,,,,,,
107,1112,1600,香料,希少な野生動植物の国際取引を規制している条約は何ですか？,ワシントン条約,ラムサール条約,京都議定書,,1,正解です。　「ワシントン条約」により、希少な動物性香料の取引も厳しく制限されています。,不l正解。　野生動物の国際取引を規制するのはワシントン条約です。,不l正解。　野生動物の国際取引を規制するのはワシントン条約です。,,,,,,,,,,,,,,,,
108,1112,1600,香料,現在、野生動物保護の観点から動物性香料の使用はどうなっていますか？,推奨されている,禁止されている,自由に使われている,,2,不l正解。　野生動物保護のため、現在では天然の動物性香料の使用は原則禁止されています。,正解です。　現在、動物保護の観点から天然の動物性香料の使用は禁止または厳しく制限されています。,不l正解。　野生動物保護のため、現在は自由に使用することはできません。,,,,,,,,,,,,,,,,
109,1112,1600,香料,ローズ油やラベンダー油は、植物のどの部分から抽出されますか？,葉,花,果皮,,2,不l正解。　これらは「花」から抽出される精油の代表例です。,正解です。　ローズやラベンダーは、主に「花」の部分から香料が抽出されます。,不l正解。　これらは主に「花」から抽出されます。,,,,,,,,,,,,,,,,
110,1112,1600,香料,レモン油やオレンジ油は、植物のどの部分から抽出されますか？,種子,樹脂,果皮,,3,不l正解。　柑橘系の香料は、主に「果皮（皮）」から抽出されます。,不l正解。　柑橘系の香料は、主に「果皮」から抽出されます。,正解です。　レモンやオレンジなどの柑橘類は、その「果皮」に多くの香料成分が含まれています。,,,,,,,,,,,,,,,,
111,1112,1600,香料,ミル油（ミルラ）やガルバヌムは、植物のどの部分から抽出されますか？,樹脂,種子,葉,,1,正解です。　ミルラ（没薬）などは、樹木から分泌される「樹脂」から得られる香料です。,不l正解。　ミルラやガルバヌムは「樹脂」から抽出されます。,不l正解。　ミルラやガルバヌムは「樹脂」から抽出されます。,,,,,,,,,,,,,,,,
112,1113,1700,配合原料,現在、香粧品の防腐剤として最も広く使われている成分は何ですか？,パラオキシ安息香酸エステル（パラベン）,パラアミノ安息香酸,エデト酸,,1,正解です。「パラベン」は、幅広い菌に対して効果があり、安全性も高いため広く使われています。,不l正解。　防腐剤として最も一般的なのはパラベンです。,不l正解。　防腐剤として最も一般的なのはパラベンです。,,,,,,,,,,,,,,,,
113,1113,1700,配合原料,殺菌剤の主な働きは、微生物に対してどのような作用をすることですか？,酸化,変色,増殖の抑制・死滅,,3,不l正解。　殺菌剤の主目的は、微生物を死滅させたり増殖を抑えたりすることです。,不l正解。　殺菌剤の主目的は、微生物を死滅させたり増殖を抑えたりすることです。,正解です。殺菌剤は微生物を殺したり（殺菌）、増殖を抑えたり（静菌）する働きを持ちます。,,,,,,,,,,,,,,,,
114,1113,1700,配合原料,代表的な殺菌剤として用いられる「逆性石けん」の成分はどれですか？,ベンザルコニウム塩,ベンガラ,カリウム石けん,,1,正解です。「ベンザルコニウム塩」は殺菌力が強く、器具や手指の消毒に使われます。,不l正解。　正解は「ベンザルコニウム塩」です。,不l正解。　正解は「ベンザルコニウム塩」です。,,,,,,,,,,,,,,,,
115,1113,1700,配合原料,空気中の酸素により酸化されやすい油分や香料を守るために配合されるのは？,防腐剤,酸化防止剤,サンスクリーン剤,,2,不l正解。　防腐剤は菌を防ぐもの、酸化を防ぐのは酸化防止剤です。,正解です。油分や香料が酸素と反応して変質（酸敗）するのを防ぐために配合されます。,不l正解。　防腐剤は菌を防ぐもの、酸化を防ぐのは酸化防止剤です。,,,,,,,,,,,,,,,,
116,1113,1700,配合原料,油性原料が空気中の酸素と反応して変質することを何といいますか？,自動酸化,中和反応,還元反応,,1,正解です。油が空気中の酸素と自然に反応して分解・変質することを「自動酸化」といいます。,不l正解。　酸素による自然な変質を自動酸化といいます。,不l正解。　酸素による自然な変質を自動酸化といいます。,,,,,,,,,,,,,,,,
117,1113,1700,配合原料,ビタミンEとも呼ばれ、安全性の高い天然の酸化防止剤は何ですか？,BHT,BHA,トコフェロール,,3,不l正解。　ビタミンEの化学名はトコフェロールです。,不l正解。　ビタミンEの化学名はトコフェロールです。,正解です。「トコフェロール」は植物油などに含まれる、天然由来の安全な酸化防止剤です。,,,,,,,,,,,,,,,,
118,1113,1700,配合原料,合成の酸化防止剤で、ジブチルヒドロキシトルエンの略称は何ですか？,ブチルヒドロキシアニソール（BHA）,ジブチルヒドロキシトルエン（BHT）,パラアミノ安息香酸,,2,不l正解。　BHTは「ジブチルヒドロキシトルエン」の略称です。,正解です。BHTの正式名称はジブチルヒドロキシトルエンで、強力な酸化防止剤です。,不l正解。　BHTは「ジブチルヒドロキシトルエン」の略称です。,,,,,,,,,,,,,,,,
119,1113,1700,配合原料,香粧品に含まれる微量な金属による変質を防ぐために配合されるのは？,紫外線吸収剤,金属イオン封鎖剤（キレート剤）,収れん剤,,2,不l正解。　金属による悪影響を防ぐのは、金属イオン封鎖剤です。,正解です。微量な金属イオンを捕まえて、酸化などの反応を抑える働きをします。,不l正解。　金属による悪影響を防ぐのは、金属イオン封鎖剤です。,,,,,,,,,,,,,,,,
120,1113,1700,配合原料,金属イオン封鎖剤の代表的な成分で、EDTAとも呼ばれるのはどれですか？,クエン酸,エデト酸,安息香酸,,2,不l正解。　エデト酸の別名がEDTA（エチレンジアミン四酢酸）です。,正解です。エデト酸は、非常に強力な金属イオン封鎖（キレート）作用を持ちます。,不l正解。　エデト酸の正式名称はエチレンジアミン四酢酸です。,,,,,,,,,,,,,,,,
121,1114,1700,配合原料,地表に到達する長波長紫外線で、肌の奥（真皮）まで届くのはどれですか？,UV-A,UV-B,UV-C,,1,正解です。「UV-A」は波長が長く、雲やガラスを透過して肌の真皮まで到達し、シワの原因となります。,不l正解。　真皮まで深く届くのはUV-Aです。,不l正解。　真皮まで深く届くのはUV-Aです。,,,,,,,,,,,,,,,,
122,1114,1700,配合原料,中波長紫外線で、細胞遺にダメージを与え、日焼け（サンバーン）を起こすのは？,UV-A,UV-B,UV-C,,2,不l正解。　炎症や日焼け（サンバーン）の主な原因はUV-Bです。,正解です。「UV-B」はエネルギーが強く、皮膚に炎症を起こしたり、メラニンを増やしたりします。,不l正解。　炎症や日焼け（サンバーン）の主な原因はUV-Bです。,,,,,,,,,,,,,,,,
123,1114,1700,配合原料,UV-Bを吸収する紫外線吸収剤として使われるのはどれですか？,ベンゾフェノン誘導体,酸化チタン,パラベン,,1,正解です。ベンゾフェノン誘導体は、紫外線をエネルギーとして吸収し、肌を守る成分です。,不l正解。　酸化チタンは紫外線を「反射・散乱」させる散乱剤です。,不l正解。　酸化チタンは紫外線を「反射・散乱」させる散乱剤です。,,,,,,,,,,,,,,,,
124,1115,1700,配合原料,肌を一時的に引き締め、汗や皮脂の分泌を抑える働きを何といいますか？,収れん作用,湿潤作用,乳化作用,,1,正解です。皮膚を引き締める働きを「収れん（収斂）作用」と呼びます。,不l正解。　引き締める作用は「収れん作用」です。,不l正解。　引き締める働きは「収れん作用」です。,,,,,,,,,,,,,,,,
125,1115,1700,配合原料,収れん作用は、皮膚表面の何が凝固（変化）することで起こりますか？,脂質,タンパク質,糖質,,2,不l正解。　収れん作用は、皮膚のタンパク質が一時的に変化することで起こります。,正解です。収れん剤が皮膚のタンパク質を凝固させ、組織を引き締めます。,不l正解。　収れん作用はタンパク質に作用します。,,,,,,,,,,,,,,,,
126,1115,1700,配合原料,緩和な「陰イオン型」収れん剤として使われるのはどれですか？,クエン酸,乳酸,どちらも,,3,不l正解。　クエン酸と乳酸はどちらも緩和な収れん作用を持ちます。,不l正解。　クエン酸と乳酸はどちらも緩和な収れん作用を持ちます。,正解です。クエン酸も乳酸も、有機酸に分類されるマイルドな収れん剤です。,,,,,,,,,,,,,,,,
127,1115,1700,配合原料,強力な収れん作用を持つ「金属塩型」の代表的な成分は何ですか？,アルミニウム・亜鉛,鉄,マグネシウム,,1,正解です。亜鉛や「アルミニウム」の塩は、強力な引き締め効果を持っています。,不l正解。　強力な引き締め作用があるのは、主に亜鉛やアルミニウムの塩です。,不l正解。　強力な引き締め作用があるのは、主に亜鉛やアルミニウムの塩です。,,,,,,,,,,,,,,,,
128,1115,1700,配合原料,広く用いられる収れん剤で、パラフェノールスルホン酸は何の塩ですか？,ナトリウム,カリウム,亜鉛,,3,不l正解。　この成分は、亜鉛と結びついた「パラフェノールスルホン酸亜鉛」として使われます。,不l正解。　この成分は、亜鉛と結びついた「パラフェノールスルホン酸亜鉛」として使われます。,正解です。パラフェノールスルホン酸亜鉛などは、代表的な収れん剤です。,,,,,,,,,,,,,,,,
129,1115,1700,配合原料,収れん剤が汗腺や脂腺の出口を引き締めることで、抑制されるものは？,皮膚のターンオーバー,汗や皮脂の分泌,メラニンの生成,,2,不l正解。　収れん剤の主な目的は、分泌を一時的に抑えることです。,正解です。収れん剤により組織が引き締まることで、汗や皮脂の過剰な分泌が抑制されます。,不l正解。　収れん剤の主な働きは、分泌を抑えることです。,,,,,,,,,,,,,,,,
130,1116,1800,雑貨原料,ネイルやまつ毛エクステに使用される接着剤は、法律上何に分類されますか？,香粧品,医薬部外品,雑貨,,3,不l正解。　これらは薬機法上の「化粧品」ではなく「雑貨」として扱われます。,不l正解。　これらは薬機法上の「化粧品」ではなく「雑貨」として扱われます。,正解です。まつエクのグルーやネイル用接着剤は、現在「雑貨」の扱いです。,,,,,,,,,,,,,,,,
131,1116,1800,雑貨原料,雑貨として扱われる製品は、薬機法の規制をどうなっていますか？,受けている,受けていない,一部受けている,,2,不l正解。　雑貨は薬機法（医薬品医療機器等法）の対象外となります。,正解です。「雑貨」扱いの製品は、化粧品のような薬機法の厳しい規制を受けません。,不l正解。　雑貨は薬機法の対象には含まれません。,,,,,,,,,,,,,,,,
132,1116,1800,雑貨原料,モノマーが結びついてできた高分子の塊を何といいますか？,単量体,重合体,混合物,,2,不l正解。　単量体は結びつく前の小さな分子のことです。,正解です。モノマー（単量体）が重なり合って繋がったものを重合体（ポリマー）といいます。,不l正解。　単量体が結合したものは重合体です。,,,,,,,,,,,,,,,,
133,1116,1800,雑貨原料,任意の形に成型できる可塑性を持つ高分子物質を総称して何といいますか？,合成樹脂（プラスチック）,天然樹脂,無機化合物,,1,正解です。熱や圧力を加えると自由に形を変えられる性質を持つのが合成樹脂です。,不l正解。　合成と天然を合わせた可塑性高分子の総称は合成樹脂です。,不l正解。　自由な形に成型できる性質を可塑性と呼びます。,,,,,,,,,,,,,,,,
134,1116,1800,雑貨原料,熱を加えると柔らかくなり、冷やすと固まる樹脂の性質を何といいますか？,熱硬化性,熱可塑性,耐熱樹脂,,2,不l正解。　正解は「熱可塑性」です。一度固まると戻らないのが熱硬化性です。,正解です。チョコレートのように、温度によって繰り返し形を変えられる性質を指します。,不l正解。　正解は「熱可塑性」です。,,,,,,,,,,,,,,,,
135,1116,1800,雑貨原料,ネイルやまつ毛エクステに使われる「接着剤」を専門用語で何といいますか？,糊(のり),ボンド,グルー,,3,不l正解。　美容業界では、専用の接着剤を一般的に「グルー」と呼びます。,不l正解。　美容業界では、専用の接着剤を一般的に「グルー」と呼びます。,正解です。ネイルやまつ毛の接着に使われるのは、速乾性の高いグルーです。,,,,,,,,,,,,,,,,
136,1116,1800,雑貨原料,マニキュアに使用される「皮膜形成剤」の代表的な成分は何ですか？,ニトロセルロース,ケラチン,ラノリン,,1,正解です。「ニトロセルロース」は乾燥すると硬い透明な膜を作るため、ネイルの主成分になります。,不l正解。　マニキュアの膜を作る主成分はニトロセルロースです。,不l正解。　マニキュアの膜を作る主成分はニトロセルロースです。,,,,,,,,,,,,,,,,
137,1116,1800,雑貨原料,マニキュアの樹脂を溶かし、塗りやすくするために含まれる成分はどれ？,水溶液,有機溶剤,無機溶剤,,2,不l正解。　樹脂は水には溶けないため、有機溶剤が使われます。,正解です。樹脂を溶かすために、酢酸エチルなどの有機溶剤が配合されています。,不l正解。　樹脂は水には溶けないため、有機溶剤が使われます。,,,,,,,,,,,,,,,,
138,1116,1800,雑貨原料,除光液の主成分で、刺激臭と強力な溶解力を持つ液体は何ですか？,エタノール,アセトン,グリセリン,,2,不l正解。　強力な溶解力でマニキュアを落とすのは、アセトンです。,正解です。「アセトン」は高い溶解性を持ちますが、脱脂力も強いため肌への刺激があります。,不l正解。　強力な溶解力でマニキュアを落とすのは、アセトンです。,,,,,,,,,,,,,,,,
139,1117,1900,スキンケア製品,石けんは、動物や植物からとれる油脂に何を加えて作りますか？,アルカリ,酸,エタノール,,1,正解です。石けんは「油脂」と「アルカリ」を反応させて作られます。,不l正解。　石けんを作るには酸ではなくアルカリが必要です。,不l正解。　石けんを作るには酸ではなくアルカリが必要です。,,,,,,,,,,,,,,,,
140,1117,1900,スキンケア製品,石けんの原料となる主な植物油脂はどれですか？,オリーブ油,パーム油・ヤシ油,ホホバ油,,2,不l正解。　石けんの主要な原料としては、パーム油やヤシ油が最も多く使われます。,正解です。「パーム油」や「ヤシ油（ココナッツ油）」は石けん作りに適した脂肪酸を多く含みます。,不l正解。　石けんの主要な原料としては、パーム油やヤシ油が使われます。,,,,,,,,,,,,,,,,
141,1117,1900,スキンケア製品,油脂にアルカリを加えて加水分解し、石けんを作る反応を何といいますか？,酸化,還元,けん化,,3,不l正解。　石けんを作る特有の化学反応を「けん化（鹸化）」といいます。,不l正解。　石けんを作る特有の化学反応を「けん化（鹸化）」といいます。,正解です。油脂にアルカリを反応させて、グリセリンと脂肪酸塩（石けん）に分けることです。,,,,,,,,,,,,,,,,
142,1117,1900,スキンケア製品,「水酸化ナトリウム」で作った石けんの一般的な性質は？,硬い(硬石けん),やわらかい(軟石けん),液体,,1,正解です。　水酸化ナトリウムを用いると、一般的に固形の硬石けんになります。,不l正解。　水酸化ナトリウムは硬石けんに、水酸化カリウムは軟石けんになります。,不l正解。　水酸化ナトリウムは硬石けんに、水酸化カリウムは軟石けんになります。,,,,,,,,,,,,,,,,
143,1117,1900,スキンケア製品,硬水中でもよく泡立ち、洗浄力を保つことができる界面活性剤の働きは？,第四級アンモニウム塩,メントール,ポリオキシエチレンアルキルエーテル,,3,不l正解。　これは陽イオン界面活性剤で、主にリンスに使われます。,不l正解。　これは清涼剤の一種です。,正解です。　硬水中でも石けんカス（金属石けん）を作りにくい非イオン界面活性剤などの特徴です。,,,,,,,,,,,,,,,,
144,1117,1900,スキンケア製品,私たちが日常の洗顔や体洗いに使っている、固形の石けんはどれですか？,硬質石け,軟質石け,金属石け,,1,正解です。　私たちが普段使っている固形石けんは、水酸化ナトリウムで作られた硬質石けんです。,不l正解。　一般的な固形石けんは硬質石けんです。,不l正解。　一般的な固形石けんは硬質石けんです。,,,,,,,,,,,,,,,,
145,1117,1900,スキンケア製品,化粧石けんは、製造方法によって何と何に分けられますか？,機械練,枠練石け,手練り石,,1,正解です。　大量生産される石けんは、一般的に機械練りで作られます。,不l正解。　安価で溶け崩れにくいのは機械練りです。,不l正解。　安価で溶け崩れにくいのは機械練りです。,,,,,,,,,,,,,,,,
146,1117,1900,スキンケア製品,透明石けんは、製造方法ではどちらに分類されますか？,機械練,枠練石け,粉末石け,,2,不l正解。　じっくり時間をかけて作る透明石けんは、枠練りで作られます。,正解です。　透明石けんは、アルコールなどを用いて枠の中で冷やし固める枠練りで作られます。,不l正解。　じっくり時間をかけて作る透明石けんは、枠練りで作られます。,,,,,,,,,,,,,,,,
147,1117,1900,スキンケア製品,化粧石けんは人体への刺激を抑えるため、どのような原料が使われますか？,低級脂,高級脂,不飽和,,1,正解です。　ラウリン酸などの低級脂肪酸の含有量を調整し、低刺激に仕上げられます。,不l正解。　肌への刺激を抑える工夫がされています。,不l正解。　肌への刺激を抑える工夫がされています。,,,,,,,,,,,,,,,,
148,1117,1900,スキンケア製品,透明石けんを作る際、透明感を出すために加えられる成分はどれですか？,食塩,砂糖,粘土,,2,不l正解。　石けんを透明にするためには、砂糖やグリセリンが使われます。,正解です。　透明石けんには、白濁を防ぐために砂糖（スクロース）などが配合されます。,不l正解。　石けんを透明にするためには、砂糖やグリセリンが使われます。,,,,,,,,,,,,,,,,
149,1117,1900,スキンケア製品,普通の化粧石けんに殺菌剤や消炎剤を配合したものを何といいますか？,透明石け,薬用石け,液体石け,,2,不l正解。　特定の効果を持つ成分を配合したものは薬用石けんです。,正解です。　殺菌剤や消炎剤が含まれるものは、医薬部外品の「薬用石けん」に分類されます。,不l正解。　特定の効果を持つ成分を配合したものは薬用石けんです。,,,,,,,,,,,,,,,,
150,1117,1900,スキンケア製品,石けんの分子が水の中で集まって作る、油を取り込む構造を何といいますか？,ミセル,コロイド,イオン,,1,正解です。　界面活性剤である石けんが水中で集まり、ミセルを作ることで汚れを落とします。,不l正解。　コロイドとは異なる、分子の集合体であるミセルを作ります。,不l正解。　イオンとは電気を帯びた状態のことで、構造の名前はミセルです。,,,,,,,,,,,,,,,,
151,1117,1900,スキンケア製品,軟質石けん(カリ石けん)の主な用途はどれですか？,洗顔,固形石け,クレンジ,,1,正解です。　カリ石けんは水に溶けやすく、ペースト状の洗顔料などの原料になります。,不l正解。　ペースト状で使いやすいため、主に洗顔料に使われます。,不l正解。　ペースト状で使いやすいため、主に洗顔料に使われます。,,,,,,,,,,,,,,,,
